listing_id,price,room_type,property_type,property_base_group,accommodates,bedrooms,bathrooms,beds,amenities_count,minimum_nights,minimum_nights_log
13166024,353.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,20,28,3.367295829986474
13251187,870.0,Entire home/apt,Entire condo,Apartment / Condo,4,1.0,1.0,1.0,24,2,1.0986122886681098
13774952,3582.0,Hotel room,Room in boutique hotel,Hotel / Resort,2,2.0,1.5,1.0,25,1,0.6931471805599453
14017397,1100.0,Private room,Private room in rental unit,Apartment / Condo,2,1.0,1.0,0.0,29,7,2.0794415416798357
14250590,3131.0,Entire home/apt,Entire rental unit,Apartment / Condo,8,2.0,2.0,5.0,27,1,0.6931471805599453
14539608,669.0,Entire home/apt,Entire loft,Apartment / Condo,2,0.0,1.0,1.0,18,200,5.303304908059076
14735787,810.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,2.0,56,28,3.367295829986474
14748555,946.0,Private room,Private room in home,House / Home,2,1.0,1.0,1.0,17,2,1.0986122886681098
15002933,4782.0,Entire home/apt,Entire townhouse,House / Home,8,3.0,3.0,5.0,16,1,0.6931471805599453
15108872,1511.0,Private room,Private room in bed and breakfast,Guesthouse / B&B,3,1.0,1.5,1.0,15,1,0.6931471805599453
15108888,2042.0,Private room,Private room in bed and breakfast,Guesthouse / B&B,4,1.0,1.5,2.0,17,1,0.6931471805599453
15298784,1385.0,Private room,Private room in condo,Apartment / Condo,2,1.0,1.0,1.0,19,30,3.4339872044851463
15336354,990.0,Private room,Room in boutique hotel,Hotel / Resort,1,1.0,0.0,1.0,11,1,0.6931471805599453
15500820,879.0,Private room,Private room in rental unit,Apartment / Condo,2,1.0,1.0,1.0,7,10,2.3978952727983707
15891486,1536.0,Private room,Room in hotel,Hotel / Resort,2,1.0,1.0,1.0,18,1,0.6931471805599453
16315806,4286.0,Hotel room,Room in hotel,Hotel / Resort,2,2.0,1.0,1.0,19,1,0.6931471805599453
16328027,1800.0,Entire home/apt,Entire home,House / Home,8,3.0,2.0,3.0,15,3,1.3862943611198906
16368987,513.0,Private room,Private room in townhouse,House / Home,2,1.0,1.0,2.0,17,1,0.6931471805599453
16536390,1366.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,50,1,0.6931471805599453
16727359,808.0,Private room,Private room in rental unit,Apartment / Condo,2,1.0,1.0,1.0,13,1,0.6931471805599453
16900153,2208.0,Private room,Private room in rental unit,Apartment / Condo,4,2.0,1.0,2.0,10,2,1.0986122886681098
16933740,1031.0,Private room,Private room in rental unit,Apartment / Condo,2,1.0,1.0,2.0,26,3,1.3862943611198906
16934225,1818.0,Private room,Private room in rental unit,Apartment / Condo,3,1.0,2.0,1.0,12,1,0.6931471805599453
17033450,2530.0,Entire home/apt,Entire home,House / Home,6,3.0,1.0,3.0,18,2,1.0986122886681098
17135867,621.0,Private room,Private room in bed and breakfast,Guesthouse / B&B,8,1.0,1.0,4.0,13,1,0.6931471805599453
17271132,912.0,Private room,Private room in condo,Apartment / Condo,2,1.0,1.0,1.0,17,2,1.0986122886681098
17378927,3890.0,Entire home/apt,Entire serviced apartment,Serviced Apartment / Aparthotel,4,2.0,2.5,2.0,38,1,0.6931471805599453
17547593,1562.0,Entire home/apt,Entire rental unit,Apartment / Condo,6,1.0,1.0,3.0,32,1,0.6931471805599453
17565947,2353.0,Private room,Private room in bed and breakfast,Guesthouse / B&B,4,2.0,1.5,2.0,43,1,0.6931471805599453
17597822,721.0,Entire home/apt,Entire rental unit,Apartment / Condo,3,1.0,1.0,2.0,23,1,0.6931471805599453
17774763,1425.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,29,1,0.6931471805599453
18063987,53633.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.5,2.0,44,7,2.0794415416798357
18114816,2065.0,Entire home/apt,Entire condo,Apartment / Condo,8,3.0,2.0,4.0,34,7,2.0794415416798357
18185560,2408.0,Entire home/apt,Entire condo,Apartment / Condo,4,2.0,2.0,2.0,0,1,0.6931471805599453
18380510,2879.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,18,1,0.6931471805599453
18588302,2900.0,Entire home/apt,Entire condo,Apartment / Condo,6,1.0,1.0,3.0,18,28,3.367295829986474
19418814,1450.0,Private room,Private room in rental unit,Apartment / Condo,2,1.0,1.0,1.0,15,180,5.198497031265826
19576047,3069.0,Entire home/apt,Entire loft,Apartment / Condo,5,2.0,1.0,3.0,26,2,1.0986122886681098
19615669,399.0,Shared room,Shared room in guesthouse,Guesthouse / B&B,7,1.0,2.0,6.0,18,1,0.6931471805599453
19833385,2163.0,Hotel room,Room in boutique hotel,Hotel / Resort,2,1.0,1.0,2.0,11,1,0.6931471805599453
19936635,610.0,Private room,Private room in guesthouse,Guesthouse / B&B,2,1.0,2.0,1.0,9,1,0.6931471805599453
20197642,3462.0,Private room,Private room in bed and breakfast,Guesthouse / B&B,2,2.0,1.0,1.0,23,1,0.6931471805599453
20418242,1305.0,Entire home/apt,Entire home,House / Home,2,1.0,1.0,1.0,45,2,1.0986122886681098
20672750,850.0,Private room,Private room in condo,Apartment / Condo,1,1.0,1.0,1.0,13,1,0.6931471805599453
20805644,2556.0,Entire home/apt,Entire bungalow,House / Home,8,3.0,3.0,6.0,30,2,1.0986122886681098
20851210,4484.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,0.0,1.0,1.0,22,3,1.3862943611198906
21158450,630.0,Entire home/apt,Entire condo,Apartment / Condo,2,1.0,1.0,1.0,51,28,3.367295829986474
21478791,822.0,Private room,Private room in home,House / Home,3,1.0,1.0,2.0,38,1,0.6931471805599453
21731803,1210.0,Private room,Private room in home,House / Home,2,1.0,1.0,1.0,21,1,0.6931471805599453
21905912,850.0,Entire home/apt,Entire serviced apartment,Serviced Apartment / Aparthotel,2,1.0,1.0,1.0,21,10,2.3978952727983707
21918200,1342.0,Private room,Private room in hostel,Hostel,2,0.0,8.0,1.0,17,1,0.6931471805599453
22019184,1775.0,Entire home/apt,Entire rental unit,Apartment / Condo,4,2.0,1.0,2.0,32,3,1.3862943611198906
22365809,1119.0,Entire home/apt,Entire rental unit,Apartment / Condo,2,1.0,1.0,1.0,28,30,3.4339872044851463
22413168,1249.0,Entire home/apt,Entire condo,Apartment / Condo,2,0.0,1.0,1.0,49,23,3.1780538303479458
22431176,2025.0,Private room,Private room in rental unit,Apartment / Condo,3,1.0,1.0,2.0,15,1,0.6931471805599453
22474451,2425.0,Entire home/apt,Entire home,House / Home,12,4.0,5.0,12.0,40,2,1.0986122886681098
22594138,8080.0,Entire home/apt,Entire home,House / Home,12,4.0,4.5,9.0,12,1,0.6931471805599453
22639612,3800.0,Entire home/apt,Entire serviced apartment,Serviced Apartment / Aparthotel,6,2.0,2.0,2.0,27,2,1.0986122886681098
